Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing,Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality
0.7828100085857969,0.49403228755360695,0.791132560016767,0.2781884678235156,0.8488486520827895,0.49076682316118936,0.22535211267605493,0.4069767441860465,0.4069767441860476,0.40697674418604657,NaN
0.7555760613157094,0.36497063231874904,0.7631136217389672,0.30032121289991,0.9110895461071383,0.20933677863910422,0.37209302325581406,0.43209876543209874,0.4320987654320985,0.43209876543209996,NaN
0.7544156237024904,0.3707530854347192,0.6071873618173682,0.3057902090730794,0.829482305728939,0.4042278937870585,0.4083526682134576,0.43209876543209874,0.4320987654320985,0.43209876543209996,NaN
0.7633261268039918,0.4461002017943263,0.7185691666425168,0.24046608811577852,0.7281399982762925,0.39412219644238206,0.4083526682134576,0.42168674698795183,0.4216867469879523,0.42168674698795117,NaN
0.7633261268039918,0.4461002017943263,0.7233088179116721,0.2078040276371278,0.7249589818350783,0.4951791698891467,0.4083526682134576,0.426829268292683,0.4268292682926837,0.4268292682926826,NaN
0.7621504354225438,0.3765087679344111,0.6245797974063229,0.278647431962349,0.7388748317850432,0.21172839506172839,0.4444444444444452,0.49295774647887325,0.4929577464788731,0.4929577464788718,NaN
0.7654148475079235,0.38223786529553705,0.6348152597465782,0.28414122210455106,0.8478837801316395,0.12070823710546574,0.20323325635103862,0.4117647058823529,0.4117647058823545,0.4117647058823508,NaN
0.7565455014646276,0.38223786529553705,0.7008638873633976,0.2516300256465872,0.7326082825003558,0.12070823710546574,0.20323325635103862,0.4117647058823529,0.4117647058823545,0.4117647058823508,NaN
0.7266724861788928,0.32478443187587613,0.7835436979171521,0.23589639616807734,0.7536725233126816,0.2397553516819572,0.31192660550458784,0.37634408602150543,0.37634408602150543,0.37634408602150443,NaN
0.7266724861788928,0.32478443187587613,0.8678790523806991,0.23589639616807734,0.7420645265151772,0.2397553516819572,0.31192660550458784,0.39325842696629215,0.3932584269662935,0.3932584269662899,NaN
-0.6419733184939804,29.632402358142492,0.5420222553976999,6.986674837533703,0.6335873061997508,1.1277796125920683,49.96815286624205,3.4801136363636367,-7.0265151515151585,-14.053030303030273,NaN
-0.6990350477284125,18.95377965752307,0.7487920175964781,6.733876882285055,0.6444071656543541,0.9465711865711866,41.13305613305626,0.0,-11.666666666666679,-23.333333333333297,NaN
-0.7351757715692563,22.285323203917542,0.6177130345038794,6.343027314931673,0.7340200019459643,0.6232727457094329,18.264887063655035,0.0,-11.666666666666679,-23.333333333333297,NaN
0.6259949518097955,0.2934231502235435,0.4580182714899961,0.24949113114277388,0.5063973640683126,0.5157894736842105,0.21052631578947434,0.5833333333333334,0.5833333333333344,0.5833333333333303,NaN
0.6083769623671569,0.15691236351259585,0.5418356603736821,0.254760206487179,0.5498875070654785,0.5146608315098469,0.24507658643326158,0.5,0.5000000000000013,0.4999999999999974,NaN
0.5984721129958177,0.16867835724588165,0.5259033751551179,0.26522948037410154,0.5686851660316046,0.28467683369644153,0.31372549019607743,0.46666666666666673,0.4666666666666675,0.46666666666666634,NaN
0.5935519867320111,0.10392601467428453,0.5157687620661073,0.27042997838097527,0.5560316704197974,0.3408695652173913,0.34782608695652206,0.4861111111111111,0.48611111111111244,0.4861111111111086,NaN
0.588653205918373,0.18034225992725195,0.45250354781030067,0.306144461355928,0.5213227450196349,0.28344179320318147,0.38177874186551064,0.546875,0.5468750000000006,0.5468749999999991,NaN
0.5796193258477079,0.18613634145403668,0.4823662860775154,0.31123388581952116,0.5161651006828202,0.16969696969696968,0.41558441558441694,0.5555555555555556,0.5555555555555567,0.5555555555555527,NaN
0.5775277653584867,0.34304479103150864,0.34274285119418263,0.3263708192241429,0.42102329296204694,0.1873357228195938,0.5161290322580648,1.0,1.0,1.0,NaN
0.5521127850460796,0.0,0.3177889339484645,0.3313731534394041,0.4869399729676691,0.18693371483071053,0.5493562231759664,0.7446808510638298,0.7446808510638303,0.7446808510638283,NaN
0.5473656785077472,0.07565699159805683,0.30387759074344495,0.33635406438179505,0.4862583696287673,0.2051867713537949,0.5824411134903641,0.7446808510638298,0.7446808510638303,0.7446808510638283,NaN
0.5467418788742227,0.08160047649913282,0.28566076247304956,0.34131368937998763,0.4591888134787811,0.353656220322887,0.3589743589743578,0.8333333333333333,0.8333333333333338,0.8333333333333341,NaN
-0.7351757715692563,22.285323203917542,0.6177130345038794,6.343027314931673,0.7340200019459643,0.6232727457094329,18.264887063655035,0.0,-11.666666666666679,-23.333333333333297,NaN
-0.7351757715692563,22.285323203917542,0.6177130345038794,6.343027314931673,0.7340200019459643,0.6232727457094329,18.264887063655035,0.0,-11.666666666666679,-23.333333333333297,NaN
-0.6990350477284125,18.95377965752307,0.7487920175964781,6.733876882285055,0.6444071656543541,0.9465711865711866,41.13305613305626,0.0,-11.666666666666679,-23.333333333333297,NaN
-0.6990350477284125,18.95377965752307,0.7487920175964781,6.733876882285055,0.6444071656543541,0.9465711865711866,41.13305613305626,0.0,-11.666666666666679,-23.333333333333297,NaN
