Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing
NaN,0.7803266358654776,0.7803266358654776,0.19270465091098077,0.8383120774339999,0.41571604071604074,0.2144479809150468,0.2290705919865983,0.9251146218086862,0.5344639941955378,NaN
NaN,0.8223201174743024,0.8223201174743024,0.25349317040807146,0.728328709851096,0.6556544025234727,0.18649439472309862,0.44089543252162744,0.8862065909390641,0.362203546615757,NaN
NaN,0.5173764072442487,0.5173764072442487,0.15387421913768334,0.7122917262035394,0.47539614086103665,0.39775023009010446,0.36899158756937,0.8488762630323117,0.362203546615757,NaN
NaN,0.6005755293448913,0.6005755293448913,0.18755419907231652,0.706622601410932,0.6694321040518119,0.42650106306682256,0.3863950659654578,0.8228104258914553,0.39401064032363986,NaN
NaN,0.5566532780513086,0.5566532780513086,0.15062421081801877,0.7145389468420507,0.6694321040518119,0.3318114613784795,0.31540719356036273,0.8362233665222937,0.39401064032363986,NaN
NaN,0.6393361689199453,0.6393361689199453,0.13274790942061593,0.6932793273509333,0.6828631967366707,0.24828183071518817,0.4033607210056691,0.8159758965397299,0.245202435907767,NaN
NaN,0.686694403654756,0.686694403654756,0.06850701382214315,0.6867327835152465,0.6894528265851796,0.24673006927321825,0.41168449550977293,0.8116615403299945,0.24366992068334348,NaN
NaN,0.652533039647577,0.652533039647577,0.06262953611938056,0.6789648695609612,0.6894528265851796,0.24594927791475873,0.41168449550977293,0.8125655439380727,0.1721934106162294,NaN
NaN,0.5625344162995595,0.5625344162995595,0.11777070693748345,0.671196955606676,0.6894528265851796,0.25922273100857113,0.3420276457122733,0.8160001925380335,0.1721934106162294,NaN
NaN,0.7092511013215859,0.7092511013215859,0.0,0.6648282311224174,0.6959605976778063,0.17846659621932603,0.3506806705318385,0.8072975271466399,0.2776727212093421,NaN
NaN,0.4170004004805767,0.4170004004805767,0.1886685371254084,0.6493888990393661,0.522420035207759,0.3253782290491481,0.2814564719753172,0.7334960125026038,0.24506232023010543,NaN
NaN,-0.07696330981203493,-0.07696330981203493,0.9444106055875956,-0.059092685551354586,9.345677775369754,0.3151318539780692,4.6317439718609785,0.16451608536438608,0.28556249384100674,NaN
NaN,-0.07614699313184632,-0.07614699313184632,0.641616858750331,-0.11738336612212812,12.876841852104377,0.06289297334746576,4.432930299046818,0.15369275185923537,0.5210662238214385,NaN
NaN,0.23656819556016237,0.23656819556016237,0.15770581511422818,0.609995209300187,0.38253582424705423,0.40076321186827446,0.18160580981500152,0.6270080343671268,0.4461866992068334,NaN
